wav_file,split,dialogue_id,utterance_id,utterance_text,emotion,sentiment,audio_path,audio_exists,text_pred_emotion,text_confidence,text_valence,text_neg_word_count,text_minimizer_count,text_prob_neutral,voice_pitch_mean,voice_pitch_std,voice_pitch_range,voice_jitter,voice_energy_mean,voice_energy_std,voice_shimmer,voice_zcr_mean,voice_tempo,voice_spectral_centroid,voice_silence_ratio,voice_mfcc_1,voice_mfcc_2,voice_mfcc_3,voice_pred_emotion,voice_emotion_confidence,voice_valence,cross_valence_discrepancy,cross_valence_direction,cross_confidence_product,cross_emotion_mismatch,cross_valence_sign_mismatch,discrepancy
train/dia0_utt0.wav,train,0,0,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia0_utt0.wav,True,neutral,0.8412572,-0.029487453,0,0,0.8412572,113.3138182092018,19.913251476761253,88.37030143454248,0.04988360267853521,0.04763307794928551,0.02682502567768097,0.17908775806427002,0.2052009091739766,117.1875,2269.6896713486003,0.0,-194.58726501464844,67.12013244628906,2.015059471130371,happy,0.13455258,-0.24246733,0.21297988,-1,0.11319333,1,0,0
train/dia1_utt1.wav,train,1,1,You mustve had your hands full.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia1_utt1.wav,True,neutral,0.389689,-0.34211,0,0,0.389689,138.07631763687067,27.67755547216606,91.88688909249295,0.06880763429076193,0.06189314275979996,0.028112102299928665,0.2456587553024292,0.15631598395270271,133.92857142857142,1917.8003940165077,0.0,-190.50765991210938,86.86627960205078,16.416994094848633,fearful,0.12969005,-0.27017596,0.071934044,1,0.050538786,1,0,0
train/dia2_utt2.wav,train,2,2,No dont I beg of you!,fear,negative,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia2_utt2.wav,True,fear,0.60500634,-0.8262941,1,0,0.007026996,203.93324751262224,49.26835408911748,123.88230520453595,0.040977747942289984,0.04936210438609123,0.03408650681376457,0.12850874662399292,0.15538194444444445,156.25,1849.6361803094574,0.15957612591553694,-195.82334899902344,82.64480590820312,-41.2401008605957,disgust,0.1332671,-0.25274962,0.5735445,1,0.08062744,1,0,0
train/dia3_utt3.wav,train,3,3,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia3_utt3.wav,True,neutral,0.66605276,0.13277388,0,0,0.66605276,142.69538566103802,28.652016919029418,114.22219430181276,0.03850618173427665,0.044329263269901276,0.030205009505152702,0.17114466428756714,0.2005836306594488,98.6842105263158,2233.2460834379062,0.17786561264822143,-207.87245178222656,66.62774658203125,-8.66799545288086,fearful,0.13315733,-0.2584177,0.39119157,-1,0.088689804,1,1,0
train/dia4_utt4.wav,train,4,4,Really?!,surprise,positive,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia4_utt4.wav,True,surprise,0.9604607,0.2664496,0,0,0.00660097,146.89432117760805,11.452497601175468,35.62555734138398,0.03429051020506257,0.05118712782859802,0.03054465726017952,0.18870995938777924,0.19511081861413043,98.6842105263158,2311.4111252715716,0.11111111111111105,-182.9364013671875,59.38979721069336,-6.753561973571777,happy,0.13333301,-0.24796562,0.5144152,-1,0.12806112,1,1,0
train/dia5_utt5.wav,train,5,5,Absolutely.  You can relax,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia5_utt5.wav,True,neutral,0.57866824,0.21961354,0,0,0.57866824,106.57649740198495,23.94175241015777,77.13530055291538,0.04907207912604078,0.031184479594230652,0.030808741226792336,0.20193305611610413,0.258542239010989,125.0,2640.7130154044708,0.29999999999999993,-237.49444580078125,46.632545471191406,-2.373279333114624,calm,0.1296492,-0.25134498,0.47095853,-1,0.075023875,1,1,0
train/dia6_utt6.wav,train,6,6,That I did. That I did.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia6_utt6.wav,True,neutral,0.85230565,-0.08690754,0,0,0.85230565,111.68547740749415,7.9035404168927315,39.05109436965493,0.02717209303950229,0.026267921552062035,0.02379549853503704,0.1938934475183487,0.15941191882621952,156.25,1975.5106668623837,0.28395061728395066,-261.2420959472656,81.62940979003906,-11.441305160522461,happy,0.14120468,-0.23230208,0.14539453,-1,0.12034955,1,0,0
train/dia7_utt7.wav,train,7,7,So lets talk a little bit about your duties.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia7_utt7.wav,True,neutral,0.84024966,-0.06960015,0,0,0.84024966,149.60974057396308,34.732705645512056,114.35897604438951,0.038670110062750035,0.04998922720551491,0.028160475194454193,0.18303239345550537,0.19212863869863014,110.29411764705883,2383.5326545660996,0.027777777777777568,-213.34988403320312,53.976417541503906,8.915205955505371,happy,0.1322068,-0.25171906,0.18211891,-1,0.11108672,1,0,0
train/dia8_utt8.wav,train,8,8,My duties?  All right.,surprise,positive,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia8_utt8.wav,True,neutral,0.6222167,0.122894235,0,0,0.6222167,0.0,0.0,0.0,0.0,0.046852417290210724,0.02216074801981449,0.09628329426050186,0.17130976137907608,144.23076923076923,1805.0811790223277,0.03825136612021862,-168.27549743652344,89.68885040283203,-51.013614654541016,disgust,0.13322045,-0.25699514,0.37988937,-1,0.082891986,1,1,1
train/dia9_utt9.wav,train,9,9,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia9_utt9.wav,True,neutral,0.8789051,-0.059222456,0,0,0.8789051,152.17227683846573,49.788743135512185,159.73586491414085,0.046337575051889596,0.050311967730522156,0.03570800647139549,0.13885244727134705,0.1597142269736842,117.1875,2090.266300346848,0.18085106382978722,-241.4326629638672,71.88665008544922,3.5490729808807373,happy,0.13241018,-0.2517069,0.19248444,-1,0.11637599,1,0,0
train/dia10_utt10.wav,train,10,10,I see.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia10_utt10.wav,True,surprise,0.67631197,0.11969463,0,0,0.1689569,158.3655147963645,26.995661683512743,90.960185730122,0.022726647707790912,0.056636493653059006,0.030907904729247093,0.16722095012664795,0.162109375,144.23076923076923,2046.6567073962765,0.12406106130361028,-207.5750732421875,68.89750671386719,-7.838548183441162,fearful,0.13103056,-0.2549849,0.3746795,-1,0.08861753,1,1,1
train/dia11_utt11.wav,train,11,11,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia11_utt11.wav,True,neutral,0.9249767,-0.022554215,0,0,0.9249767,134.81822670998733,28.62895949710739,119.50750300992834,0.022801086371885396,0.05116051062941551,0.02705211564898491,0.15631882846355438,0.13923725328947367,144.23076923076923,1847.1652899439582,0.07617216557375184,-214.616455078125,81.86811828613281,-5.627432346343994,fearful,0.12985949,-0.25497854,0.23242432,-1,0.12011701,1,0,0
train/dia12_utt12.wav,train,12,12,Good to know.,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia12_utt12.wav,True,neutral,0.4683889,0.09987354,0,0,0.4683889,0.0,0.0,0.0,0.0,0.040838297456502914,0.024113133549690247,0.18315723538398743,0.19666466346153846,170.45454545454547,2361.9490670623572,0.0,-193.64117431640625,59.44623565673828,-12.690756797790527,happy,0.13525444,-0.25077263,0.35064617,-1,0.063351676,1,1,0
train/dia13_utt13.wav,train,13,13,We can go into detail,neutral,neutral,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia13_utt13.wav,True,neutral,0.94518805,-0.020727761,0,0,0.94518805,144.472506950784,11.737296499514294,46.43983927303637,0.020512233375931867,0.04132242128252983,0.02283516339957714,0.12482644617557526,0.1125368212090164,104.16666666666667,1638.6534702414197,0.0,-211.36878967285156,91.80805206298828,-19.44699478149414,fearful,0.13264668,-0.25583777,0.23511001,-1,0.12537606,1,0,0
train/dia14_utt14.wav,train,14,14,Would you look at this dump? He hated us. This is his final revenge!,disgust,negative,/kaggle/input/datasets/kaunghsethein/meld-prepared-audio/meld_prepared/train/dia14_utt14.wav,True,anger,0.6602669,-0.7323631,0,0,0.024717677,412.1703602333557,107.60382585487767,423.9874628695204,0.05596353698390806,0.0361550971865654,0.017243150621652603,0.12921713292598724,0.15270703125,144.23076923076923,2138.4044826471536,0.048257119967325846,-222.59779357910156,66.73587799072266,-21.959476470947266,neutral,0.13270737,-0.2681937,0.4641694,1,0.087622285,1,0,1
